Date;Price;Open;High;Low;Vol.;Change %
Mar 19, 2019;9,839.74;9844.46;9,908.17;9,774.75;19.35B;-0.04%
Mar 18, 2019;9,843.43;9583.44;9,843.43;9,510.66;19.99B;3.07%
Mar 15, 2019;9,550.54;9485.33;9,650.54;9,452.91;18.02B;1.41%
Mar 14, 2019;9,417.93;9521.62;9,620.46;9,323.06;21.36B;-1.82%
Mar 13, 2019;9,592.06;9828.15;9,828.15;9,534.33;26.93B;-2.53%
Mar 12, 2019;9,841.24;9766.50;9,928.20;9,683.07;30.40B;1.41%
Mar 11, 2019;9,704.33;9425.80;9,704.33;9,370.38;26.34B;3.64%
Mar 08, 2019;9,363.72;9447.60;9,726.30;9,346.73;34.30B;-3.25%
Mar 07, 2019;9,678.11;9685.30;9,782.22;9,546.56;31.33B;-0.23%
Mar 06, 2019;9,700.49;9640.95;9,707.92;9,518.71;32.32B;1.09%
Mar 05, 2019;9,595.74;9366.77;9,595.74;9,328.00;25.66B;2.25%
Mar 04, 2019;9,384.42;9280.65;9,567.15;9,260.73;29.55B;2.36%
Mar 01, 2019;9,167.65;9111.96;9,167.65;9,005.49;18.97B;1.50%
Feb 28, 2019;9,031.93;9001.18;9,097.40;8,970.65;18.82B;0.29%
Feb 27, 2019;9,005.77;9062.97;9,158.20;8,901.72;25.86B;-0.92%
Feb 26, 2019;9,089.04;9162.92;9,276.45;9,036.75;34.27B;-0.50%
Feb 25, 2019;9,134.58;8804.97;9,134.58;8,785.42;31.56B;5.59%
Feb 22, 2019;8,651.20;8431.56;8,651.20;8,393.86;19.58B;2.36%
Feb 21, 2019;8,451.71;8467.15;8,619.62;8,416.17;19.86B;-0.26%
Feb 20, 2019;8,473.43;8443.98;8,488.47;8,372.96;16.83B;0.39%
Feb 19, 2019;8,440.87;8480.76;8,537.35;8,350.86;20.40B;-0.07%
Feb 18, 2019;8,446.92;8187.89;8,446.92;8,187.89;19.44B;3.95%
Feb 15, 2019;8,125.63;8198.45;8,223.64;8,117.51;15.38B;-1.15%
Feb 14, 2019;8,219.96;8182.32;8,260.33;8,141.10;15.97B;0.60%
Feb 13, 2019;8,171.21;8029.97;8,191.98;8,016.78;15.93B;2.01%
Feb 12, 2019;8,010.07;7915.06;8,027.63;7,903.90;13.17B;1.15%
Feb 11, 2019;7,919.05;7695.17;7,922.54;7,695.17;10.50B;3.06%
Feb 01, 2019;7,684.00;7524.67;7,684.11;7,517.83;8.95B;2.74%
Jan 31, 2019;7,479.22;7485.79;7,552.56;7,428.86;8.99B;0.12%
Jan 30, 2019;7,470.47;7518.03;7,580.22;7,470.36;7.02B;-1.07%
Jan 29, 2019;7,551.30;7575.43;7,578.13;7,428.40;8.81B;-0.50%
Jan 28, 2019;7,589.58;7641.29;7,704.85;7,569.77;8.42B;-0.08%
Jan 25, 2019;7,595.45;7581.29;7,657.03;7,554.55;8.90B;0.29%
Jan 24, 2019;7,573.52;7537.50;7,604.99;7,485.24;8.20B;0.66%
Jan 23, 2019;7,523.77;7493.07;7,542.65;7,489.32;6.50B;0.09%
Jan 22, 2019;7,516.79;7615.80;7,615.80;7,493.78;7.76B;-1.44%
Jan 21, 2019;7,626.24;7591.19;7,661.62;7,578.49;9.04B;0.59%
Jan 18, 2019;7,581.39;7486.95;7,584.76;7,479.66;9.64B;1.49%
Jan 17, 2019;7,470.36;7534.04;7,545.81;7,463.99;8.51B;-0.93%
Jan 16, 2019;7,540.45;7545.35;7,586.66;7,518.71;8.91B;-0.09%
Jan 15, 2019;7,547.35;7403.79;7,549.66;7,386.15;9.06B;1.86%
Jan 14, 2019;7,409.20;7473.88;7,488.36;7,394.96;8.30B;-0.87%
Jan 11, 2019;7,474.01;7441.18;7,490.17;7,404.31;8.21B;0.61%
Jan 10, 2019;7,428.61;7442.70;7,491.69;7,415.28;8.78B;-0.26%
Jan 09, 2019;7,447.93;7425.64;7,552.20;7,404.49;10.96B;0.76%
Jan 08, 2019;7,391.65;7381.61;7,412.19;7,361.41;9.24B;-0.12%
Jan 07, 2019;7,400.20;7333.32;7,409.38;7,303.46;10.57B;1.58%
Jan 04, 2019;7,284.84;7022.12;7,284.84;7,011.33;10.40B;2.76%
Jan 03, 2019;7,089.44;7134.15;7,217.83;7,081.83;7.20B;-0.84%
