Date;Price;Open;High;Low;Vol.;Change %
Jan 08, 2018;11,382.72;11343.82;11,386.04;11,287.60;12.28B;0.35%
Jan 05, 2018;11,342.85;11339.57;11,372.29;11,310.29;10.77B;0.01%
Jan 04, 2018;11,341.35;11270.91;11,341.35;11,259.46;9.92B;0.54%
Jan 03, 2018;11,280.30;11181.18;11,316.46;11,171.12;11.55B;0.91%
Jan 02, 2018;11,178.05;11079.64;11,178.05;11,072.87;9.79B;1.25%
Dec 29, 2017;11,040.45;10984.86;11,040.62;10,971.64;7.62B;0.61%
Dec 28, 2017;10,974.01;10907.83;11,029.09;10,891.75;8.97B;0.58%
Dec 27, 2017;10,911.21;11007.44;11,026.73;10,911.21;8.69B;-1.00%
Dec 26, 2017;11,021.83;11002.34;11,025.10;10,900.64;7.58B;0.15%
Dec 25, 2017;11,005.50;11102.16;11,132.59;10,967.37;8.17B;-0.80%
Dec 22, 2017;11,094.16;11112.73;11,154.75;11,078.26;6.93B;-0.22%
Dec 21, 2017;11,118.25;10988.77;11,149.04;10,935.22;8.51B;1.04%
Dec 20, 2017;11,003.33;11072.41;11,079.13;10,988.89;7.43B;-0.65%
Dec 19, 2017;11,074.99;10964.14;11,077.18;10,963.79;7.12B;1.05%
Dec 18, 2017;10,960.12;10991.11;11,046.10;10,916.19;7.20B;-0.35%
Dec 15, 2017;10,998.12;11092.15;11,104.82;10,970.73;8.76B;-1.01%
Dec 14, 2017;11,110.18;11138.46;11,165.61;11,070.98;7.99B;-0.30%
Dec 13, 2017;11,143.89;11030.02;11,143.89;11,019.59;7.34B;0.91%
Dec 12, 2017;11,043.21;11145.75;11,176.58;11,043.21;8.25B;-0.90%
Dec 11, 2017;11,143.26;10962.18;11,143.26;10,962.18;8.96B;1.90%
Dec 08, 2017;10,935.06;10789.17;10,964.79;10,789.17;7.99B;1.24%
Dec 07, 2017;10,801.25;10886.26;10,925.20;10,795.84;7.32B;-1.01%
Dec 06, 2017;10,911.33;10838.04;10,911.33;10,716.29;8.91B;0.52%
Dec 05, 2017;10,854.76;10988.07;11,044.18;10,801.40;9.70B;-1.45%
Dec 04, 2017;11,014.55;11007.19;11,099.83;10,993.51;8.79B;0.01%
Dec 01, 2017;11,013.15;10941.87;11,077.43;10,926.77;8.17B;0.63%
Nov 30, 2017;10,944.10;11036.75;11,079.93;10,908.70;8.17B;-1.25%
Nov 29, 2017;11,082.13;11095.91;11,108.45;10,936.99;9.81B;-0.08%
Nov 28, 2017;11,091.14;10938.40;11,091.14;10,936.40;8.42B;1.25%
Nov 27, 2017;10,954.18;11126.78;11,126.78;10,936.14;10.08B;-1.92%
Nov 24, 2017;11,168.39;11135.07;11,225.20;11,058.99;9.37B;-0.06%
Nov 23, 2017;11,175.47;11520.04;11,520.04;11,162.53;11.73B;-3.33%
Nov 22, 2017;11,560.80;11598.04;11,666.13;11,454.26;11.90B;-0.36%
Nov 21, 2017;11,602.10;11419.09;11,602.10;11,407.40;12.28B;1.44%
Nov 20, 2017;11,437.55;11229.58;11,437.55;11,087.53;10.49B;1.28%
Nov 17, 2017;11,292.93;11519.92;11,555.87;11,292.93;12.95B;-2.12%
Nov 16, 2017;11,537.96;11442.85;11,549.08;11,415.75;10.33B;0.66%
Nov 15, 2017;11,462.11;11548.00;11,583.97;11,390.30;9.98B;-1.04%
Nov 14, 2017;11,582.92;11689.94;11,700.73;11,538.34;12.26B;-0.96%
Nov 13, 2017;11,695.00;11657.63;11,714.98;11,631.19;12.00B;0.43%
Nov 10, 2017;11,645.05;11540.55;11,659.65;11,531.59;11.38B;0.79%
Nov 09, 2017;11,553.24;11443.54;11,553.24;11,414.20;10.36B;0.92%
Nov 08, 2017;11,447.40;11460.15;11,563.82;11,441.80;12.05B;-0.18%
Nov 07, 2017;11,467.97;11374.09;11,467.97;11,370.99;11.19B;0.83%
Nov 06, 2017;11,373.74;11218.04;11,373.74;11,181.29;10.36B;1.41%
Nov 03, 2017;11,215.19;11287.55;11,334.68;11,165.06;10.22B;-0.68%
Nov 02, 2017;11,292.42;11336.48;11,337.01;11,251.81;10.06B;-0.51%
Nov 01, 2017;11,350.32;11370.52;11,424.48;11,341.07;8.74B;-0.15%
Oct 31, 2017;11,367.62;11293.34;11,368.19;11,274.17;8.50B;0.49%
Oct 30, 2017;11,312.61;11446.79;11,472.28;11,192.18;12.47B;-1.15%
Oct 27, 2017;11,444.52;11456.57;11,484.91;11,415.37;9.57B;-0.15%
Oct 26, 2017;11,461.28;11430.00;11,509.02;11,413.93;10.07B;0.21%
Oct 25, 2017;11,437.21;11330.75;11,437.21;11,324.17;8.72B;0.86%
Oct 24, 2017;11,339.13;11289.02;11,339.13;11,260.68;8.00B;0.29%
Oct 23, 2017;11,306.31;11239.69;11,306.31;11,228.68;7.89B;0.60%
Oct 20, 2017;11,238.88;11154.93;11,238.88;11,140.34;7.22B;0.44%
Oct 19, 2017;11,189.55;11275.31;11,290.72;11,179.19;9.60B;-0.83%
Oct 18, 2017;11,282.75;11277.54;11,323.26;11,240.63;9.30B;0.07%
Oct 17, 2017;11,275.34;11254.41;11,318.00;11,214.82;8.24B;0.04%
Oct 16, 2017;11,271.20;11401.87;11,422.93;11,267.27;12.42B;-1.12%
Oct 13, 2017;11,399.09;11312.27;11,400.05;11,308.04;9.68B;0.81%
Oct 12, 2017;11,307.32;11309.36;11,337.12;11,240.66;9.54B;-0.05%
Oct 11, 2017;11,312.50;11319.46;11,344.59;11,285.92;11.26B;-0.15%
Oct 10, 2017;11,329.51;11260.77;11,329.51;11,229.02;11.14B;0.58%
Oct 09, 2017;11,264.27;11248.35;11,305.46;11,214.90;12.27B;1.60%
Sep 29, 2017;11,087.19;11042.72;11,121.44;11,042.72;9.86B;0.51%
Sep 28, 2017;11,031.42;11029.47;11,072.56;11,015.48;9.73B;-0.05%
Sep 27, 2017;11,036.78;10951.96;11,063.13;10,951.89;8.94B;0.79%
Sep 26, 2017;10,950.77;10915.66;10,951.14;10,890.92;8.65B;0.18%
Sep 25, 2017;10,930.67;11054.26;11,056.66;10,911.03;9.29B;-1.26%
Sep 22, 2017;11,069.82;11067.11;11,085.43;11,025.89;9.52B;-0.26%
Sep 21, 2017;11,098.34;11187.88;11,199.19;11,098.34;11.20B;-0.83%
Sep 20, 2017;11,191.13;11083.85;11,191.13;11,083.21;11.48B;0.97%
Sep 19, 2017;11,083.90;11160.42;11,181.18;11,055.24;11.03B;-0.62%
Sep 18, 2017;11,153.53;11062.43;11,154.75;11,062.43;10.93B;0.82%
Sep 15, 2017;11,063.10;11058.10;11,105.02;11,022.25;11.91B;-0.07%
Sep 14, 2017;11,070.49;11091.98;11,124.54;11,033.82;11.99B;-0.19%
Sep 13, 2017;11,091.49;11040.10;11,091.49;11,015.74;11.03B;0.43%
Sep 12, 2017;11,043.61;11063.85;11,131.95;11,019.87;15.73B;-0.09%
Sep 11, 2017;11,053.73;10979.72;11,053.73;10,963.62;11.49B;0.76%
Sep 08, 2017;10,970.77;10961.70;11,011.11;10,911.82;10.39B;0.01%
Sep 07, 2017;10,969.13;11030.60;11,059.47;10,966.54;12.60B;-0.50%
Sep 06, 2017;11,024.59;10959.31;11,036.89;10,939.26;12.50B;0.34%
Sep 05, 2017;10,986.95;10958.20;10,995.53;10,928.86;11.74B;0.22%
Sep 04, 2017;10,962.85;10882.13;10,969.57;10,859.36;13.31B;0.76%
Sep 01, 2017;10,880.56;10822.49;10,880.56;10,807.77;12.42B;0.59%
Aug 31, 2017;10,816.64;10823.31;10,837.39;10,759.79;9.72B;0.03%
Aug 30, 2017;10,813.93;10762.24;10,825.89;10,762.24;10.25B;0.48%
Aug 29, 2017;10,762.37;10796.54;10,818.22;10,742.13;10.46B;-0.44%
Aug 28, 2017;10,809.74;10678.35;10,866.36;10,678.35;12.74B;1.41%
Aug 25, 2017;10,659.01;10556.54;10,671.71;10,556.54;8.82B;1.00%
Aug 24, 2017;10,552.96;10617.74;10,627.34;10,537.78;7.58B;-0.63%
Aug 23, 2017;10,619.34;10642.22;10,662.83;10,583.18;8.59B;-0.33%
Aug 22, 2017;10,653.98;10689.65;10,699.05;10,631.25;9.73B;-0.33%
Aug 21, 2017;10,689.77;10624.81;10,689.77;10,624.81;9.74B;0.71%
Aug 18, 2017;10,614.08;10586.35;10,636.15;10,563.26;9.61B;-0.37%
Aug 17, 2017;10,653.73;10601.65;10,658.16;10,583.40;11.56B;0.50%
Aug 16, 2017;10,600.78;10550.42;10,625.34;10,504.07;11.53B;0.39%
Aug 15, 2017;10,559.78;10527.54;10,559.78;10,502.52;9.93B;0.38%
Aug 14, 2017;10,519.80;10308.97;10,519.80;10,308.97;10.98B;2.22%
Aug 11, 2017;10,291.35;10407.33;10,459.91;10,281.63;12.14B;-1.81%
Aug 10, 2017;10,480.64;10525.15;10,582.16;10,417.09;11.40B;-0.61%
Aug 09, 2017;10,544.59;10487.77;10,548.06;10,455.27;11.69B;0.46%
Aug 08, 2017;10,496.25;10448.87;10,516.61;10,437.85;12.33B;0.43%
Aug 07, 2017;10,451.08;10353.15;10,451.08;10,347.50;10.07B;0.87%
Aug 04, 2017;10,361.23;10426.53;10,450.69;10,360.83;12.89B;-0.72%
Aug 03, 2017;10,436.17;10454.01;10,507.23;10,403.59;12.20B;-0.32%
Aug 02, 2017;10,469.34;10526.00;10,557.47;10,461.95;13.33B;-0.53%
Aug 01, 2017;10,525.35;10496.71;10,529.90;10,472.71;12.49B;0.19%
Jul 31, 2017;10,505.04;10438.23;10,517.33;10,418.83;13.20B;0.64%
Jul 28, 2017;10,437.94;10381.31;10,456.41;10,371.39;10.82B;0.41%
Jul 27, 2017;10,395.19;10284.92;10,416.55;10,216.02;13.06B;0.95%
Jul 26, 2017;10,297.34;10365.61;10,380.70;10,247.54;10.61B;-0.54%
Jul 25, 2017;10,353.21;10398.25;10,421.21;10,317.92;9.57B;-0.49%
Jul 24, 2017;10,404.22;10352.85;10,414.07;10,341.24;10.10B;0.38%
Jul 21, 2017;10,364.82;10354.54;10,406.25;10,342.72;9.30B;-0.02%
Jul 20, 2017;10,366.98;10288.89;10,392.06;10,282.28;11.08B;0.69%
Jul 19, 2017;10,295.57;10079.68;10,296.29;10,064.31;12.15B;1.90%
Jul 18, 2017;10,103.76;10012.91;10,103.76;9,960.56;9.13B;0.48%
Jul 17, 2017;10,055.80;10383.22;10,384.05;10,006.38;12.71B;-3.57%
Jul 14, 2017;10,427.79;10445.57;10,452.94;10,382.37;8.32B;-0.37%
Jul 13, 2017;10,466.10;10444.78;10,491.39;10,431.50;8.77B;0.12%
Jul 12, 2017;10,453.19;10465.87;10,494.25;10,360.10;9.60B;-0.14%
Jul 11, 2017;10,467.71;10488.89;10,568.37;10,467.13;9.60B;-0.36%
Jul 10, 2017;10,505.60;10542.55;10,574.21;10,497.39;11.12B;-0.55%
Jul 07, 2017;10,563.72;10526.78;10,564.31;10,504.10;9.88B;0.02%
Jul 06, 2017;10,562.06;10547.51;10,574.11;10,467.91;10.48B;0.01%
Jul 05, 2017;10,561.09;10443.03;10,561.09;10,434.68;8.75B;0.82%
Jul 04, 2017;10,474.83;10527.77;10,527.77;10,437.40;8.69B;-0.57%
Jul 03, 2017;10,535.05;10531.73;10,541.86;10,464.68;8.60B;0.05%
Jun 30, 2017;10,529.61;10475.22;10,537.50;10,454.88;7.49B;0.17%
Jun 29, 2017;10,511.86;10460.38;10,523.52;10,459.94;7.87B;0.58%
Jun 28, 2017;10,451.57;10507.05;10,517.94;10,436.08;7.73B;-0.80%
Jun 27, 2017;10,535.36;10532.57;10,548.80;10,479.35;8.08B;-0.02%
Jun 26, 2017;10,537.59;10377.22;10,537.59;10,377.22;9.92B;1.65%
Jun 23, 2017;10,366.78;10249.79;10,366.78;10,196.39;8.41B;0.99%
Jun 22, 2017;10,265.20;10361.34;10,418.61;10,265.20;9.21B;-0.98%
Jun 21, 2017;10,367.17;10327.13;10,367.17;10,269.32;7.76B;0.76%
Jun 20, 2017;10,288.53;10281.57;10,323.00;10,273.06;8.00B;0.25%
Jun 19, 2017;10,262.80;10191.98;10,262.80;10,191.87;6.57B;0.70%
Jun 16, 2017;10,191.24;10212.98;10,233.80;10,176.86;6.85B;-0.30%
Jun 15, 2017;10,221.69;10140.08;10,225.05;10,134.41;7.87B;0.69%
Jun 14, 2017;10,151.53;10208.84;10,226.15;10,138.82;7.37B;-0.72%
Jun 13, 2017;10,224.82;10104.71;10,237.40;10,102.50;7.31B;1.04%
Jun 12, 2017;10,119.99;10144.12;10,197.10;10,108.98;7.30B;-0.56%
Jun 09, 2017;10,177.45;10147.02;10,182.61;10,124.94;7.13B;0.28%
Jun 08, 2017;10,148.72;10104.59;10,162.48;10,097.66;7.78B;0.38%
Jun 07, 2017;10,109.88;9915.18;10,117.06;9,910.53;8.90B;1.96%
Jun 06, 2017;9,915.92;9834.54;9,915.92;9,821.13;5.39B;0.74%
Jun 05, 2017;9,842.60;9799.81;9,866.34;9,799.65;5.80B;0.49%
Jun 02, 2017;9,794.89;9708.72;9,811.58;9,637.54;6.47B;0.66%
Jun 01, 2017;9,730.33;9833.82;9,854.55;9,730.06;7.02B;-1.36%
May 31, 2017;9,864.84;9944.12;9,976.65;9,855.30;7.47B;0.06%
May 26, 2017;9,859.23;9871.68;9,913.48;9,838.70;7.22B;-0.35%
May 25, 2017;9,893.78;9792.10;9,917.81;9,727.51;8.30B;0.83%
May 24, 2017;9,812.46;9722.04;9,812.46;9,609.41;6.60B;0.50%
May 23, 2017;9,763.78;9878.38;9,914.50;9,761.31;8.05B;-1.37%
May 22, 2017;9,899.65;9958.29;10,014.94;9,864.95;7.23B;-0.72%
May 19, 2017;9,970.96;9978.50;10,005.71;9,922.76;6.40B;-0.03%
May 18, 2017;9,974.35;9955.86;10,045.68;9,936.31;7.05B;-0.56%
May 17, 2017;10,030.11;10030.36;10,091.47;10,019.36;9.11B;-0.16%
May 16, 2017;10,046.66;9819.71;10,046.66;9,761.35;9.01B;2.04%
May 15, 2017;9,845.60;9812.38;9,866.07;9,812.38;6.17B;0.59%
May 12, 2017;9,787.99;9755.87;9,794.99;9,703.10;6.40B;0.12%
May 11, 2017;9,776.45;9704.88;9,776.51;9,566.42;8.22B;0.20%
May 10, 2017;9,756.81;9875.74;9,945.61;9,756.81;7.48B;-1.30%
May 09, 2017;9,885.34;9794.81;9,887.15;9,736.14;6.45B;0.53%
May 08, 2017;9,833.17;10000.95;10,018.57;9,833.17;8.23B;-1.91%
May 05, 2017;10,024.44;10119.54;10,132.92;10,024.44;7.75B;-1.21%
May 04, 2017;10,147.44;10164.81;10,241.55;10,116.01;7.98B;-0.36%
May 03, 2017;10,184.14;10208.60;10,244.35;10,146.26;7.61B;-0.39%
May 02, 2017;10,223.97;10205.66;10,228.70;10,166.39;7.73B;-0.10%
Apr 28, 2017;10,234.65;10208.13;10,235.23;10,176.08;8.10B;0.05%
Apr 27, 2017;10,229.19;10174.25;10,244.08;10,015.89;9.63B;0.24%
Apr 26, 2017;10,204.84;10162.72;10,251.70;10,161.42;8.44B;0.39%
Apr 25, 2017;10,165.22;10106.90;10,213.49;10,104.55;7.47B;0.73%
Apr 24, 2017;10,091.89;10285.04;10,285.04;10,060.11;7.61B;-2.16%
Apr 21, 2017;10,314.35;10357.86;10,407.77;10,300.40;7.10B;-0.43%
Apr 20, 2017;10,359.09;10346.99;10,411.75;10,306.39;8.46B;0.10%
Apr 19, 2017;10,348.41;10377.28;10,393.73;10,235.00;9.25B;-0.61%
Apr 18, 2017;10,411.44;10449.01;10,522.85;10,405.35;8.72B;-0.38%
Apr 17, 2017;10,450.86;10483.96;10,505.63;10,406.52;8.86B;-0.66%
Apr 14, 2017;10,519.86;10662.26;10,662.53;10,515.37;11.15B;-1.26%
Apr 13, 2017;10,654.09;10578.58;10,678.78;10,571.70;10.95B;0.63%
Apr 12, 2017;10,587.31;10643.48;10,667.60;10,584.69;13.92B;-0.64%
Apr 11, 2017;10,655.79;10601.00;10,662.50;10,476.66;13.70B;0.50%
Apr 10, 2017;10,603.28;10663.86;10,664.10;10,593.76;12.32B;-0.62%
Apr 07, 2017;10,669.48;10652.40;10,702.88;10,635.08;10.45B;0.12%
Apr 06, 2017;10,656.17;10649.84;10,661.77;10,608.13;8.83B;0.27%
Apr 05, 2017;10,627.13;10496.78;10,628.60;10,496.78;9.59B;1.90%
Mar 31, 2017;10,428.72;10351.33;10,428.72;10,351.33;6.37B;0.78%
Mar 30, 2017;10,348.27;10505.39;10,513.89;10,328.95;8.50B;-1.64%
Mar 29, 2017;10,520.82;10573.12;10,585.88;10,497.01;7.81B;-0.40%
Mar 28, 2017;10,563.29;10580.16;10,606.09;10,538.02;6.54B;-0.18%
Mar 27, 2017;10,581.92;10643.45;10,660.23;10,578.75;7.47B;-0.61%
Mar 24, 2017;10,646.72;10584.09;10,666.12;10,580.11;8.34B;0.60%
Mar 23, 2017;10,583.04;10558.34;10,607.73;10,477.57;7.66B;0.28%
Mar 22, 2017;10,553.53;10535.67;10,586.48;10,488.63;7.88B;-0.31%
Mar 21, 2017;10,586.62;10527.41;10,586.62;10,513.63;6.67B;0.52%
Mar 20, 2017;10,532.33;10512.89;10,534.11;10,459.74;6.98B;0.16%
Mar 17, 2017;10,515.41;10632.05;10,650.46;10,514.67;8.79B;-1.03%
Mar 16, 2017;10,624.42;10573.77;10,628.18;10,573.77;8.59B;0.77%
Mar 15, 2017;10,543.01;10515.59;10,551.71;10,499.85;6.96B;0.11%
Mar 14, 2017;10,531.73;10561.50;10,577.48;10,515.52;7.20B;-0.27%
Mar 13, 2017;10,559.88;10450.65;10,559.88;10,402.72;7.64B;1.04%
Mar 10, 2017;10,451.01;10415.38;10,476.59;10,415.38;6.15B;0.29%
Mar 09, 2017;10,421.06;10484.28;10,484.68;10,402.36;6.74B;-0.74%
Mar 08, 2017;10,498.31;10549.99;10,549.99;10,473.88;6.38B;-0.51%
Mar 07, 2017;10,552.14;10527.83;10,552.14;10,495.50;7.56B;0.28%
Mar 06, 2017;10,522.28;10406.23;10,522.28;10,406.23;7.83B;1.20%
Mar 03, 2017;10,397.05;10339.89;10,404.87;10,308.22;6.98B;0.29%
Mar 02, 2017;10,367.31;10429.98;10,443.87;10,362.00;7.22B;-0.49%
Mar 01, 2017;10,418.62;10387.63;10,446.38;10,378.12;7.51B;0.26%
Feb 28, 2017;10,391.34;10354.87;10,402.27;10,340.09;6.44B;0.36%
Feb 27, 2017;10,353.55;10443.30;10,447.68;10,345.47;7.41B;-0.86%
Feb 24, 2017;10,443.73;10423.64;10,446.50;10,396.75;7.66B;0.11%
Feb 23, 2017;10,432.64;10439.83;10,454.16;10,379.05;8.67B;-0.11%
Feb 22, 2017;10,444.38;10403.92;10,444.38;10,385.10;8.10B;0.37%
Feb 21, 2017;10,405.75;10338.87;10,407.14;10,330.28;8.20B;0.74%
Feb 20, 2017;10,329.00;10203.02;10,334.59;10,203.02;7.63B;1.29%
Feb 17, 2017;10,197.92;10261.09;10,296.14;10,183.37;7.49B;-0.55%
Feb 16, 2017;10,253.96;10175.12;10,253.96;10,163.24;6.93B;0.75%
Feb 15, 2017;10,177.25;10259.95;10,294.77;10,160.11;7.89B;-0.85%
Feb 14, 2017;10,264.92;10273.09;10,286.37;10,234.37;6.51B;-0.06%
Feb 13, 2017;10,270.83;10188.71;10,279.12;10,187.09;7.80B;0.83%
Feb 10, 2017;10,186.38;10184.57;10,212.48;10,155.36;7.56B;0.04%
Feb 09, 2017;10,182.73;10124.45;10,194.42;10,116.45;6.90B;0.52%
Feb 08, 2017;10,130.12;10043.61;10,130.12;10,003.91;5.75B;0.74%
Feb 07, 2017;10,055.57;10072.51;10,093.67;10,011.77;5.35B;-0.23%
Feb 06, 2017;10,078.73;10004.22;10,080.58;9,984.64;5.19B;0.74%
Feb 03, 2017;10,004.84;10061.29;10,066.70;9,985.30;4.51B;-0.47%
Jan 26, 2017;10,052.05;9989.85;10,053.36;9,989.35;4.52B;0.74%
Jan 25, 2017;9,977.96;9931.62;9,991.50;9,922.49;4.33B;0.37%
Jan 24, 2017;9,941.55;9972.61;9,978.27;9,928.08;5.11B;-0.35%
Jan 23, 2017;9,976.19;9919.41;10,010.08;9,919.41;5.68B;0.71%
Jan 20, 2017;9,906.14;9763.04;9,925.17;9,762.78;5.29B;1.41%
Jan 19, 2017;9,768.57;9781.64;9,821.22;9,746.30;4.55B;-0.37%
Jan 18, 2017;9,804.76;9801.08;9,858.79;9,774.76;4.64B;-0.22%
Jan 17, 2017;9,826.79;9684.53;9,827.91;9,611.19;5.77B;1.17%
Jan 16, 2017;9,712.80;9993.56;9,993.56;9,482.84;8.27B;-2.95%
Jan 13, 2017;10,008.30;10135.68;10,155.22;9,997.40;5.98B;-1.21%
Jan 12, 2017;10,131.23;10207.43;10,236.09;10,127.42;6.24B;-0.82%
Jan 11, 2017;10,215.48;10294.30;10,331.37;10,213.86;6.20B;-0.88%
Jan 10, 2017;10,306.34;10327.01;10,357.14;10,301.69;6.46B;-0.25%
Jan 09, 2017;10,331.79;10281.31;10,337.70;10,258.37;6.19B;0.41%
Jan 06, 2017;10,289.36;10362.85;10,363.12;10,286.52;6.19B;-0.79%
Jan 05, 2017;10,371.47;10382.60;10,396.90;10,365.44;6.81B;-0.13%
Jan 04, 2017;10,384.87;10264.43;10,384.87;10,255.75;7.23B;1.19%
Jan 03, 2017;10,262.85;10205.14;10,275.13;10,205.14;6.22B;0.84%
Dec 30, 2016;10,177.14;10175.50;10,204.09;10,145.11;5.04B;0.17%
Dec 29, 2016;10,159.45;10177.02;10,222.52;10,151.28;4.93B;-0.27%
Dec 28, 2016;10,187.16;10229.01;10,246.77;10,169.80;5.20B;-0.42%
Dec 27, 2016;10,230.57;10229.91;10,270.98;10,221.67;5.26B;-0.03%
Dec 26, 2016;10,233.42;10163.51;10,233.42;10,062.37;6.14B;0.33%
Dec 23, 2016;10,199.86;10304.64;10,311.39;10,196.72;6.33B;-1.04%
Dec 22, 2016;10,306.92;10310.72;10,323.07;10,257.32;5.87B;-0.06%
Dec 21, 2016;10,313.57;10266.19;10,320.34;10,266.19;6.25B;0.67%
Dec 20, 2016;10,245.33;10275.44;10,276.63;10,204.02;6.36B;-0.37%
Dec 19, 2016;10,283.16;10330.61;10,330.61;10,262.69;6.56B;-0.50%
Dec 16, 2016;10,334.76;10258.64;10,346.53;10,239.21;6.80B;0.77%
Dec 15, 2016;10,256.11;10202.24;10,331.98;10,195.00;7.56B;0.23%
Dec 14, 2016;10,232.82;10318.07;10,333.66;10,213.95;7.92B;-0.96%
Dec 13, 2016;10,332.28;10280.44;10,364.06;10,192.13;8.18B;0.29%
Dec 12, 2016;10,302.85;10774.59;10,775.57;10,292.54;11.51B;-4.51%
Dec 09, 2016;10,789.62;10802.18;10,835.91;10,766.56;7.76B;-0.21%
Dec 08, 2016;10,812.30;10865.22;10,865.22;10,804.74;7.84B;-0.40%
Dec 07, 2016;10,855.72;10780.21;10,855.72;10,751.20;7.45B;0.70%
Dec 06, 2016;10,779.77;10798.80;10,833.81;10,774.36;6.98B;-0.04%
Dec 05, 2016;10,784.33;10776.12;10,894.08;10,762.85;9.14B;-1.18%
Dec 02, 2016;10,912.63;11074.54;11,078.29;10,905.39;10.11B;-1.58%
Dec 01, 2016;11,088.16;11037.11;11,090.93;11,036.61;9.54B;0.69%
Nov 30, 2016;11,012.19;11023.66;11,072.06;10,983.18;9.78B;-0.20%
Nov 29, 2016;11,034.70;11039.62;11,124.81;11,026.30;11.34B;-0.31%
Nov 28, 2016;11,068.87;11078.77;11,108.87;11,045.68;11.13B;0.29%
Nov 25, 2016;11,036.53;10966.36;11,036.53;10,830.40;10.28B;0.63%
Nov 24, 2016;10,967.47;10960.65;11,030.12;10,947.27;10.28B;-0.06%
Nov 23, 2016;10,973.80;11011.00;11,041.52;10,952.00;10.80B;-0.11%
Nov 22, 2016;10,985.60;10910.42;10,985.60;10,910.42;9.58B;0.79%
Nov 21, 2016;10,899.92;10877.08;10,955.44;10,861.81;8.23B;0.10%
Nov 18, 2016;10,889.11;10946.88;10,963.66;10,876.91;7.89B;-0.51%
Nov 17, 2016;10,945.42;10942.10;10,961.80;10,887.51;8.53B;-0.21%
Nov 16, 2016;10,968.08;10970.70;10,998.92;10,956.87;10.92B;0.09%
Nov 15, 2016;10,958.10;10910.15;10,958.10;10,877.40;10.64B;0.46%
Nov 14, 2016;10,907.53;10855.98;10,952.61;10,847.82;13.26B;0.27%
Nov 11, 2016;10,878.14;10823.93;10,878.14;10,792.83;12.60B;0.52%
Nov 10, 2016;10,821.66;10777.10;10,848.98;10,777.10;10.10B;1.16%
Nov 09, 2016;10,697.11;10768.86;10,785.09;10,575.16;10.49B;-0.61%
Nov 08, 2016;10,763.13;10734.07;10,785.88;10,722.35;8.04B;0.64%
Nov 07, 2016;10,695.18;10704.26;10,729.99;10,663.56;8.67B;-0.07%
Nov 04, 2016;10,702.57;10737.91;10,784.84;10,684.47;7.44B;-0.39%
Nov 03, 2016;10,743.96;10662.16;10,804.26;10,655.14;8.83B;0.48%
Nov 02, 2016;10,692.65;10771.35;10,785.11;10,686.94;7.99B;-0.96%
Nov 01, 2016;10,796.14;10714.82;10,797.06;10,706.87;6.69B;0.86%
Oct 31, 2016;10,704.30;10685.36;10,719.04;10,630.30;6.65B;-0.06%
Oct 28, 2016;10,711.04;10783.28;10,836.77;10,710.93;7.69B;-0.72%
Oct 27, 2016;10,788.97;10805.80;10,808.14;10,745.28;7.22B;-0.26%
Oct 26, 2016;10,817.51;10871.24;10,871.24;10,793.63;8.83B;-0.50%
Oct 25, 2016;10,871.51;10846.76;10,871.66;10,841.20;8.66B;0.27%
Oct 24, 2016;10,842.64;10755.49;10,871.16;10,740.18;9.32B;0.87%
Oct 21, 2016;10,748.90;10783.56;10,802.54;10,678.11;8.36B;-0.33%
Oct 20, 2016;10,784.33;10763.46;10,802.66;10,752.92;7.57B;0.25%
Oct 19, 2016;10,757.92;10811.27;10,824.41;10,733.69;8.34B;-0.36%
Oct 18, 2016;10,797.02;10637.69;10,797.02;10,637.69;8.29B;1.37%
Oct 17, 2016;10,651.50;10770.34;10,783.67;10,624.82;8.00B;-1.01%
Oct 14, 2016;10,759.68;10774.37;10,774.37;10,692.07;7.39B;-0.26%
Oct 13, 2016;10,787.49;10784.74;10,818.04;10,757.49;8.14B;-0.01%
Oct 12, 2016;10,788.59;10751.43;10,792.12;10,733.31;7.87B;0.06%
Oct 11, 2016;10,782.31;10743.41;10,782.31;10,727.45;8.58B;0.38%
Oct 10, 2016;10,741.69;10612.21;10,741.69;10,584.70;8.17B;1.65%
Sep 30, 2016;10,567.58;10504.29;10,590.37;10,499.47;5.10B;0.53%
Sep 29, 2016;10,512.25;10477.04;10,553.02;10,477.04;5.55B;0.43%
Sep 28, 2016;10,467.16;10490.05;10,492.93;10,436.12;5.13B;-0.09%
Sep 27, 2016;10,476.97;10375.35;10,476.97;10,352.02;6.18B;0.81%
Sep 26, 2016;10,392.70;10588.35;10,588.51;10,392.70;7.90B;-2.05%
Sep 23, 2016;10,609.70;10670.59;10,679.82;10,607.86;6.86B;-0.49%
Sep 22, 2016;10,662.21;10644.71;10,697.39;10,634.46;7.57B;0.74%
Sep 21, 2016;10,583.40;10543.39;10,600.68;10,538.94;6.02B;0.37%
Sep 20, 2016;10,544.53;10563.04;10,563.73;10,520.08;5.47B;-0.12%
Sep 19, 2016;10,557.25;10476.63;10,570.58;10,476.63;5.79B;0.99%
Sep 14, 2016;10,454.24;10466.83;10,519.96;10,425.69;6.63B;-0.57%
Sep 13, 2016;10,514.58;10519.02;10,545.20;10,460.13;7.41B;0.51%
Sep 12, 2016;10,461.58;10578.78;10,619.89;10,460.51;10.32B;-2.80%
