Date,SSEC.Close,SSEC.Open,SSEC.High,SSEC.Low,SSEC.Volume
2019-02-01,2618.23,2597.78,2618.48,2590.55,13200000
2019-01-31,2584.57,2581.33,2606.63,2571.58,15430000
2019-01-30,2575.58,2584.75,2598.82,2575.41,12050000
2019-01-29,2594.25,2592.35,2601.74,2559.98,15560000
2019-01-28,2596.98,2615.71,2630.32,2591.1,14700000
2019-01-25,2601.72,2596.26,2617,2595.63,15940000
2019-01-24,2591.69,2584.65,2597.29,2569.7,15400000
2019-01-23,2581,2575.26,2589.51,2572.41,13140000
2019-01-22,2579.7,2609.64,2609.64,2573.06,15250000
2019-01-21,2610.51,2599.06,2618.98,2599.06,16340000
2019-01-18,2596.01,2567.74,2598.88,2565.9,19080000
2019-01-17,2559.64,2573.58,2582.56,2557.71,16250000
2019-01-16,2570.42,2569.07,2574.24,2563.01,14930000
2019-01-15,2570.34,2537.37,2571.5,2532.43,16030000
2019-01-14,2535.77,2553.33,2556.29,2533.01,14480000
2019-01-11,2553.83,2539.55,2554.79,2533.36,14940000
2019-01-10,2535.1,2543.85,2551.83,2531.66,15990000
2019-01-09,2544.34,2536.42,2574.41,2536.16,19190000
2019-01-08,2526.46,2530.3,2531.34,2520.16,15810000
2019-01-07,2533.09,2528.7,2536.98,2515.51,17730000
2019-01-04,2514.87,2446.02,2515.32,2440.91,16890000
2019-01-03,2464.36,2461.78,2488.48,2455.93,12440000
2019-01-02,2465.29,2497.88,2500.28,2456.42,10990000
2018-12-28,2493.9,2483.62,2505.11,2478.32,11920000
2018-12-27,2483.09,2527.72,2532,2483.09,13540000
2018-12-26,2498.29,2501.12,2513.83,2492.08,10880000
2018-12-25,2504.82,2503.95,2513.96,2462.84,14070000
2018-12-24,2527.01,2506.74,2529.44,2500.44,9730000
2018-12-21,2516.25,2526.55,2527.42,2498.69,11570000
2018-12-20,2536.27,2544.51,2554.86,2516.02,12060000
2018-12-19,2549.56,2578.68,2579.87,2547.08,10770000
2018-12-18,2576.65,2583.63,2599.15,2563.57,11700000
2018-12-17,2597.97,2587.26,2598.97,2573.87,11740000
2018-12-14,2593.74,2627.28,2629.16,2593.74,14590000
2018-12-13,2634.05,2607.14,2645.84,2599.46,15070000
2018-12-12,2602.15,2608.11,2610.01,2595.07,10350000
2018-12-11,2594.09,2587.01,2596.15,2583.2,10130000
2018-12-10,2584.58,2589.19,2599.76,2576.24,11320000
2018-12-07,2605.89,2609.34,2614.58,2599.28,10910000
